ProblemID,Replication,Seed,Mining,Family,Got,Expected,Pass
Ta20_5_1,1,210501210,Elite-only,NEH,1302,1302,True
Ta20_5_1,1,210501210,Elite-only,NEH-TBKK2,1301,1301,True
Ta20_5_1,1,210501210,Elite-only,KK2-style-NEH,1297,1297,True
Ta20_5_1,1,210501210,Elite-only,FRB4-p1,1286,1286,True
Ta20_5_1,1,210501210,Elite-only,INEH-inspired,1289,1289,True
Ta20_5_1,1,210501210,Contrast,NEH,1302,1302,True
Ta20_5_1,1,210501210,Contrast,NEH-TBKK2,1301,1301,True
Ta20_5_1,1,210501210,Contrast,KK2-style-NEH,1323,1323,True
Ta20_5_1,1,210501210,Contrast,FRB4-p1,1286,1286,True
Ta20_5_1,1,210501210,Contrast,INEH-inspired,1292,1292,True
Ta20_5_1,2,210502219,Elite-only,NEH,1302,1302,True
Ta20_5_1,2,210502219,Elite-only,NEH-TBKK2,1301,1301,True
Ta20_5_1,2,210502219,Elite-only,KK2-style-NEH,1297,1297,True
Ta20_5_1,2,210502219,Elite-only,FRB4-p1,1287,1287,True
Ta20_5_1,2,210502219,Elite-only,INEH-inspired,1289,1289,True
Ta20_5_1,2,210502219,Contrast,NEH,1302,1302,True
Ta20_5_1,2,210502219,Contrast,NEH-TBKK2,1301,1301,True
Ta20_5_1,2,210502219,Contrast,KK2-style-NEH,1323,1323,True
Ta20_5_1,2,210502219,Contrast,FRB4-p1,1287,1287,True
Ta20_5_1,2,210502219,Contrast,INEH-inspired,1292,1292,True
Ta20_5_1,3,210503228,Elite-only,NEH,1302,1302,True
Ta20_5_1,3,210503228,Elite-only,NEH-TBKK2,1301,1301,True
Ta20_5_1,3,210503228,Elite-only,KK2-style-NEH,1297,1297,True
Ta20_5_1,3,210503228,Elite-only,FRB4-p1,1286,1286,True
Ta20_5_1,3,210503228,Elite-only,INEH-inspired,1289,1289,True
Ta20_5_1,3,210503228,Contrast,NEH,1302,1302,True
Ta20_5_1,3,210503228,Contrast,NEH-TBKK2,1301,1301,True
Ta20_5_1,3,210503228,Contrast,KK2-style-NEH,1323,1323,True
Ta20_5_1,3,210503228,Contrast,FRB4-p1,1287,1287,True
Ta20_5_1,3,210503228,Contrast,INEH-inspired,1292,1292,True
